Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-0.770898826991,-0.915921095114,-0.625876558867,-10.41863402202,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.651090545087,-0.775146043654,-0.527035046520,-10.28663810784,0.000000000000,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.709148599103,-0.886896673014,-0.531400525193,-7.819526160541,0.000000000000,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.594265596411,-0.674909880932,-0.513621311890,-14.44292268367,0.000000000000,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.492703475469,-0.557513994377,-0.427892956561,-14.90006689105,0.000000000000,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.437780807370,-0.492570930177,-0.382990684563,-15.66038861773,0.000000000000,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.291219136146,-0.333805214027,-0.248633058264,-13.40294872982,0.000000000000,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.105902549803,-0.158635252478,-0.053169847127,-3.936175711726,0.000082790365,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.140766469578,0.097828742040,0.183704197116,6.425519616978,0.000000000131,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.240653095684,0.198159216079,0.283146975289,11.099749062553,0.000000000000,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.296171686435,0.254988245657,0.337355127212,14.095127257340,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.297963666714,0.254453656549,0.341473676879,13.422153965220,0.000000000000,Gee,85 <= Age <= 89,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.350000599558,0.305085318297,0.394915880819,15.272943872133,0.000000000000,Gee,Age >= 90,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.040006217090,0.004854369904,0.075158064275,2.230629424386,0.025705686066,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_35_39_MALE,1,0.011684596303,-0.201633656109,0.225002848715,0.107357845234,0.914505095795,Gee,35 <= Age <= 39 MALE,v2024,"HCUP 2019, 2020, 2021"
