VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-8.048410828296,0.027888318557,83286.691850813,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.067844360894,0.025067139670,7.325174074836,0.006799537838,Female,v2024,HCUP 2021
AGECAT2,1,0.416202160528,0.022003212851,357.79680708444,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,0.151824564880,0.021960247448,47.797989709832,0.000000000005,Age 10-14,v2024,HCUP 2021
FAGECAT2,1,-0.297821943064,0.031839434734,87.494889668249,0.000000000000,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,-0.143146653626,0.031291161277,20.927581300635,0.000004769772,"Female,Age 10-14",v2024,HCUP 2021
POVCAT2,1,0.101118967075,0.031430395429,10.350600807461,0.001294325515,"County decile 2,  7.4 < percent in poverty <= 9.4",v2024,HCUP 2021
POVCAT3,1,0.204862813625,0.030708433000,44.505220268553,0.000000000025,"County decile 3,  9.4 < percent in poverty <= 10.5",v2024,HCUP 2021
POVCAT4,1,0.378586242205,0.029615890239,163.41054245624,0.000000000000,"County decile 4, 10.5 < percent in poverty <= 11.6",v2024,HCUP 2021
POVCAT5,1,0.362435151287,0.029630404423,149.61855811254,0.000000000000,"County decile 5, 11.6 < percent in poverty <= 12.9",v2024,HCUP 2021
POVCAT6,1,0.405982933100,0.029534561127,188.95331266436,0.000000000000,"County decile 6, 12.9 < percent in poverty <= 14.4",v2024,HCUP 2021
POVCAT7,1,0.498262487569,0.028632608851,302.82696428031,0.000000000000,"County decile 7, 14.4 < percent in poverty <= 15.7",v2024,HCUP 2021
POVCAT8,1,0.608103378714,0.028865659217,443.80467489345,0.000000000000,"County decile 8, 15.7 < percent in poverty <= 16.9",v2024,HCUP 2021
POVCAT9,1,0.593242634949,0.028406788284,436.13449893349,0.000000000000,"County decile 9, 16.9 < percent in poverty <= 20.1",v2024,HCUP 2021
POVCAT10,1,0.945731962974,0.026555295409,1268.3346590379,0.000000000000,"County decile 10,20.1 < percent in poverty <= 43.5",v2024,HCUP 2021
