Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
AGEDAY_0,1,-0.057900519208,-0.270927297057,0.155126258640,-0.532716748010,0.594229670858,Gee,AgeDay=0,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.140152749519,-0.134788609018,0.415094108056,0.999101564249,0.317745493477,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
AGEDAY_0_MALE,1,0.131874816756,-0.153787756181,0.417537389693,0.904808385123,0.365566908667,Gee,AgeDay=0 MALE,v2024,"HCUP 2019, 2020, 2021"
ODC903,1,0.705476079716,0.458056044882,0.952896114550,5.588503409289,0.000000022903,Gee,Ventilator Dependence flag,v2024,"HCUP 2019, 2020, 2021"
MDRG_1502,1,-0.399960713496,-0.479612795511,-0.320308631480,-9.841658546104,0.000000000000,Gee,EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME,v2024,"HCUP 2019, 2020, 2021"
MDRG_1503,1,-0.529311076018,-0.686180353111,-0.372441798924,-6.613344976369,0.000000000038,Gee,PREMATURITY W MAJOR PROBLEMS,v2024,"HCUP 2019, 2020, 2021"
MDRG_1505,1,-0.852930307948,-1.048327097284,-0.657533518611,-8.555476733152,0.000000000000,Gee,FULL TERM NEONATE W MAJOR PROBLEMS,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD008,1,0.378062235893,0.020938981408,0.735185490378,2.074881310467,0.037997536258,Gee,Immunity disorders,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG010,1,-0.157618296179,-0.323199357990,0.007962765631,-1.865709643592,0.062081999722,Gee,Abdominal hernia,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_DIG017,1,0.759356783120,0.217538446974,1.301175119266,2.746883682301,0.006016446789,Gee,Biliary tract disease,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_END016,1,-0.368886853042,-0.694872865874,-0.042900840211,-2.217901743864,0.026561532590,Gee,Other specified and unspecified nutritional and metabolic disorders,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_FAC015,1,1.460267758448,0.895722261406,2.024813255489,5.069692751677,0.000000398458,Gee,Resistance to antimicrobial drugs,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_INF003,1,0.571644088461,0.285968169842,0.857320007079,3.921933044886,0.000087841404,Gee,Bacterial infections,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_INF004,1,-0.730121057042,-1.195523233860,-0.264718880225,-3.074783590279,0.002106553449,Gee,Fungal infections,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_MAL001,1,0.802113295607,0.716677252705,0.887549338509,18.401053203199,0.000000000000,Gee,Cardiac and circulatory congenital anomalies,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_MAL002,1,0.176429575438,0.066735806252,0.286123344624,3.152372429466,0.001619495694,Gee,Digestive congenital anomalies,v2024,"HCUP 2019, 2020, 2021"
