VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.120981547335,0.025933320571,75398.631545935,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.262064518780,0.034195965785,58.730906323705,0.000000000000,Female,v2024,HCUP 2021
AGECAT2,1,0.696782452963,0.027264136094,653.14698845471,0.000000000000,Age 5-9,v2024,HCUP 2021
AGECAT3,1,-0.180815982745,0.028859665616,39.254643959125,0.000000000372,Age 10-14,v2024,HCUP 2021
AGECAT4,1,0.209629418463,0.029185009015,51.592288861376,0.000000000001,Age 15-17,v2024,HCUP 2021
AGECAT5,1,1.568901851145,0.026317963514,3553.7509587916,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT6,1,2.137356313925,0.026229202033,6640.2388353164,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT7,1,2.160809896162,0.026215790095,6793.7133447558,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT8,1,1.924170053198,0.026302551952,5351.6922131421,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT9,1,1.728753139551,0.026408141860,4285.3892428111,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT10,1,1.428060840548,0.026615566771,2878.8695298997,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT11,1,1.225140844271,0.026723427602,2101.7822298382,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT12,1,1.010118801416,0.026893145714,1410.7878133240,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT13,1,0.660825385096,0.027327414473,584.75823679364,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT14,1,0.292579508226,0.028279656428,107.03838638907,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT15,1,0.016959951902,0.029638734236,0.327438639740,0.567171216435,Age 70-74,v2024,HCUP 2021
AGECAT16,1,-0.029126369923,0.031860988353,0.835707374256,0.360627356966,Age 75-79,v2024,HCUP 2021
AGECAT17,1,0.007738587092,0.034915530225,0.049123133948,0.824596170999,Age 80-84,v2024,HCUP 2021
FAGECAT2,1,0.125421317245,0.036401298034,11.871592328097,0.000569966606,"Female,Age 5-9",v2024,HCUP 2021
FAGECAT3,1,0.327336710732,0.038568713150,72.030947984331,0.000000000000,"Female,Age 10-14",v2024,HCUP 2021
FAGECAT4,1,0.513483480548,0.038658873073,176.42274404509,0.000000000000,"Female,Age 15-17",v2024,HCUP 2021
FAGECAT5,1,0.409592214505,0.034749765514,138.93114956906,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT6,1,0.373359320589,0.034627431066,116.25548395687,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT7,1,0.361415460689,0.034608342542,109.05657460169,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT8,1,0.367292638570,0.034733166779,111.82417038093,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT9,1,0.316862426626,0.034898898585,82.436215549886,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT10,1,0.316892253923,0.035199894444,81.047668251055,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT11,1,0.265007656017,0.035387620014,56.080791066795,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT12,1,0.193077259712,0.035677030172,29.287672627395,0.000000062391,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT13,1,0.163660048585,0.036348338746,20.272915863780,0.000006714438,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT14,1,0.178172747643,0.037706953462,22.327477733061,0.000002298935,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT15,1,0.164914376986,0.039659963159,17.290693959526,0.000032075387,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT16,1,0.190518970718,0.042588494893,20.012063348582,0.000007695515,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT17,1,0.035084668764,0.047177758983,0.553044587841,0.457076338837,"Female,Age 80-84",v2024,HCUP 2021
