VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-7.279484017214,0.045084229307,26070.652064750,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.413747558278,0.052012044389,63.279499948490,0.000000000000,Female,v2024,HCUP 2021
AGECAT5,1,-0.702089738360,0.050436249953,193.77586057684,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT6,1,-0.040210961842,0.048616292284,0.684108921796,0.408175412352,Age 25-29,v2024,HCUP 2021
AGECAT7,1,0.365227273650,0.047141060647,60.024382836580,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT8,1,0.510436839257,0.046898716355,118.45737637277,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT9,1,0.640627823704,0.046747631574,187.79860792920,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT10,1,0.646132703102,0.046904394629,189.76511386377,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT11,1,0.723010567368,0.046588897894,240.83766946353,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT12,1,0.775520100465,0.046427039666,279.02565232789,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT13,1,0.623689808222,0.046851968972,177.20729672541,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT14,1,0.377875909825,0.048087651363,61.749191987803,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT15,1,0.161199067798,0.049908861359,10.432051643583,0.001238470918,Age 70-74,v2024,HCUP 2021
AGECAT16,1,0.150815773224,0.052966046292,8.107713963528,0.004407727846,Age 75-79,v2024,HCUP 2021
AGECAT17,1,0.095646118902,0.058537726402,2.669703329666,0.102275086498,Age 80-84,v2024,HCUP 2021
FAGECAT5,1,0.061452154256,0.060508092102,1.031447922588,0.309818834777,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT6,1,-0.100565338933,0.058374280175,2.967929406180,0.084930496970,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT7,1,-0.169488595962,0.056332436923,9.052403124979,0.002623497633,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT8,1,-0.118176269129,0.055883765945,4.471870515486,0.034457249991,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT9,1,-0.171933642912,0.055720536549,9.521188221555,0.002031130276,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT10,1,-0.173961700022,0.055938567934,9.671294281254,0.001871694093,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT11,1,-0.268315628529,0.055614377906,23.276505061157,0.000001403035,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT12,1,-0.381739253349,0.055498361070,47.312219631071,0.000000000006,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT13,1,-0.426051743084,0.056218173158,57.434287156890,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT14,1,-0.384051706437,0.057978782216,43.877433817948,0.000000000035,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT15,1,-0.258630120514,0.060227916234,18.440068455094,0.000017533221,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT16,1,-0.079231431009,0.063581566375,1.552860896944,0.212713591495,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT17,1,0.001112254184,0.069929672920,0.000252979367,0.987309921702,"Female,Age 80-84",v2024,HCUP 2021
POVCAT1,1,-0.979164962679,0.016720087516,3429.5302429302,0.000000000000,"County decile 1, percent in poverty <= 7.4",v2024,HCUP 2021
POVCAT2,1,-0.648681658371,0.014382011048,2034.3421646697,0.000000000000,"County decile 2,  7.4 < percent in poverty <= 9.4",v2024,HCUP 2021
POVCAT3,1,-0.699941432290,0.013890815287,2539.0305775729,0.000000000000,"County decile 3,  9.4 < percent in poverty <= 10.5",v2024,HCUP 2021
POVCAT4,1,-0.468156370233,0.013934177082,1128.8057775269,0.000000000000,"County decile 4, 10.5 < percent in poverty <= 11.6",v2024,HCUP 2021
POVCAT5,1,-0.515274924546,0.013136553574,1538.5624684039,0.000000000000,"County decile 5, 11.6 < percent in poverty <= 12.9",v2024,HCUP 2021
POVCAT6,1,-0.325728796975,0.012640479582,664.02618824342,0.000000000000,"County decile 6, 12.9 < percent in poverty <= 14.4",v2024,HCUP 2021
POVCAT7,1,-0.739938549432,0.014475706644,2612.8336522113,0.000000000000,"County decile 7, 14.4 < percent in poverty <= 15.7",v2024,HCUP 2021
POVCAT8,1,-0.060469023269,0.012832373603,22.205058257719,0.000002450274,"County decile 8, 15.7 < percent in poverty <= 16.9",v2024,HCUP 2021
POVCAT9,1,-0.085510602317,0.013099909908,42.609193425573,0.000000000067,"County decile 9, 16.9 < percent in poverty <= 20.1",v2024,HCUP 2021
