VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-4.952632397260,0.009875271575,251520.90842716,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.307611502026,0.009212707340,1114.8863296936,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-4.794576107191,0.029069547552,27203.443946404,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-4.393269049694,0.027772372929,25023.590534863,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-4.100886721001,0.024004389324,29185.976066249,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-3.788355939488,0.021270221111,31721.779695065,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-3.482649016959,0.019130822205,33139.972632444,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-3.191407729101,0.017414650267,33584.204893800,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-2.819456860521,0.014669562252,36939.975161109,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-2.396888745422,0.012471384535,36937.407608852,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-2.036853877598,0.011187270386,33149.079935531,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.721649861325,0.010693690754,25919.965688346,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.383158892617,0.010303083818,18022.277839880,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.901055222414,0.010270118740,7697.5387994359,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.485145164193,0.010534177571,2121.0072057387,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.326538830691,0.041176448215,62.888596293842,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.279306682438,0.039693747767,49.512908831078,0.000000000002,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.361308811545,0.033530476291,116.11214856180,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,0.365968983183,0.029642552226,152.42540981379,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,0.427021759088,0.026209423274,265.45143737554,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,0.417934227238,0.023824571523,307.72705592931,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,0.413290816004,0.020037138148,425.44176759553,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,0.349101015861,0.017092845916,417.13196356620,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,0.274019295112,0.015397707501,316.70152805766,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,0.174790418984,0.014813178007,139.23190439096,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,0.162319960637,0.014188103456,130.88659335249,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,0.113272218964,0.014112424669,64.423385429778,0.000000000000,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,0.055425890988,0.014404491031,14.805719985981,0.000119173482,"Female,Age 80-84",v2024,HCUP 2021
POVCAT2,1,0.128242705552,0.009984228222,164.98191651063,0.000000000000,"County decile 2,  7.4 < percent in poverty <= 9.4",v2024,HCUP 2021
POVCAT3,1,0.122908626108,0.009934695043,153.05786363496,0.000000000000,"County decile 3,  9.4 < percent in poverty <= 10.5",v2024,HCUP 2021
POVCAT4,1,0.274022910888,0.009634893410,808.87222330750,0.000000000000,"County decile 4, 10.5 < percent in poverty <= 11.6",v2024,HCUP 2021
POVCAT5,1,0.358092327270,0.009336524016,1471.0234430304,0.000000000000,"County decile 5, 11.6 < percent in poverty <= 12.9",v2024,HCUP 2021
POVCAT6,1,0.418161798782,0.009339723510,2004.5674366893,0.000000000000,"County decile 6, 12.9 < percent in poverty <= 14.4",v2024,HCUP 2021
POVCAT7,1,0.281563528389,0.009644610739,852.28214411996,0.000000000000,"County decile 7, 14.4 < percent in poverty <= 15.7",v2024,HCUP 2021
POVCAT8,1,0.549450343077,0.009336904506,3462.9886147224,0.000000000000,"County decile 8, 15.7 < percent in poverty <= 16.9",v2024,HCUP 2021
POVCAT9,1,0.586197593557,0.009196317296,4063.1248583962,0.000000000000,"County decile 9, 16.9 < percent in poverty <= 20.1",v2024,HCUP 2021
POVCAT10,1,0.728018649038,0.008980449069,6571.8690389774,0.000000000000,"County decile 10,20.1 < percent in poverty <= 43.5",v2024,HCUP 2021
