VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-2.650791727013,0.002761457680,921455.63271183,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,-0.056339140103,0.003487444869,260.97909842336,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-3.885382520824,0.007351341006,279340.83475198,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-3.632046232643,0.007500822203,234468.76382569,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-3.342125679692,0.006568384631,258897.82517088,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-3.042574617228,0.005911642351,264890.37136518,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-2.672030357798,0.005268993539,257174.22744719,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-2.346100065821,0.004824878775,236439.61910353,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-2.034057438162,0.004304174456,223329.80845199,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-1.722841254044,0.003938931105,191308.27493676,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-1.500617852941,0.003764687001,158884.84296091,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-1.347526417436,0.003782113346,126942.04662052,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-1.157390160254,0.003803426024,92599.709486219,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.792850518979,0.003916049219,40990.795465263,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.442990416616,0.004106585261,11636.623253702,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,0.305677124925,0.009813446502,970.24801140991,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,0.181886157220,0.010254184726,314.62774774290,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,0.036197203624,0.009204280745,15.465726581269,0.000084014941,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,-0.058360309311,0.008411929014,48.133115350006,0.000000000004,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,-0.118542248520,0.007512804221,248.96722478382,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,-0.158004026466,0.006863524781,529.95854198930,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,-0.197130388390,0.006082656151,1050.3175485476,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.227632772662,0.005492968578,1717.3362897214,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.203996527456,0.005167173931,1558.6169269830,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.152850253931,0.005123775818,889.92230021289,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.062181364672,0.005068096794,150.53264640313,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.023575333322,0.005166524903,20.821817201436,0.000005040549,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,-0.002654177867,0.005352639348,0.245880496882,0.619990800618,"Female,Age 80-84",v2024,HCUP 2021
