Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-0.723206120319,-0.824819717117,-0.621592523520,-13.94949095283,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.676215939545,-0.787194977543,-0.565236901547,-11.94242544530,0.000000000000,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.579385769404,-0.670351172721,-0.488420366087,-12.48359485889,0.000000000000,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.508176478922,-0.584159458937,-0.432193498906,-13.10829867786,0.000000000000,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.427197886856,-0.493682006336,-0.360713767377,-12.59387172554,0.000000000000,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.306845832550,-0.361237835606,-0.252453829494,-11.05689709543,0.000000000000,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.183177533871,-0.230883365334,-0.135471702407,-7.525733398862,0.000000000000,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.066816308067,-0.124952463047,-0.008680153087,-2.252600940612,0.024284321765,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.139584570118,0.098323505422,0.180845634815,6.630481599106,0.000000000033,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.257930036270,0.213813691910,0.302046380629,11.459099545938,0.000000000000,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.290169019382,0.238134848817,0.342203189947,10.929756758698,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.236517401830,0.136568089389,0.336466714272,4.638006785442,0.000003517852,Gee,85 <= Age <= 89,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.113483514579,-0.052750860462,0.279717889620,1.338012076981,0.180892499944,Gee,Age >= 90,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.224351335352,0.196333185317,0.252369485386,15.694131719389,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_60_64_MALE,1,-0.063584927407,-0.132819498037,0.005649643222,-1.800028028563,0.071856212618,Gee,60 <= Age <= 64 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_85_89_MALE,1,0.038459180050,-0.087338240595,0.164256600696,0.599206306351,0.549035317916,Gee,85 <= Age <= 89 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus_MALE,1,0.234708022104,0.014978588764,0.454437455443,2.093571458381,0.036298172293,Gee,Age >= 90 MALE,v2024,"HCUP 2019, 2020, 2021"
CMR_AIDS,1,0.081207835842,-0.090225728961,0.252641400645,0.928432152106,0.353183446906,Gee,Acquired immune deficiency syndrome,v2024,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,0.537845057842,0.469549969518,0.606140146166,15.435325855916,0.000000000000,Gee,Alcohol abuse,v2024,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,0.062186599949,0.013700645522,0.110672554376,2.513789769861,0.011944161040,Gee,Anemias due to other nutritional deficiencies,v2024,"HCUP 2019, 2020, 2021"
CMR_AUTOIMMUNE,1,-0.007200333139,-0.074469842969,0.060069176690,-0.209788857772,0.833832469767,Gee,Autoimmune conditions,v2024,"HCUP 2019, 2020, 2021"
CMR_BLDLOSS,1,-0.175882216983,-0.307895647356,-0.043868786610,-2.611270761118,0.009020644242,Gee,Chronic blood loss anemia  (iron deficiency),v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.292287352943,0.165420214273,0.419154491614,4.515532476810,0.000006315787,Gee,Leukemia,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.189062148720,0.131728810659,0.246395486781,6.463168112347,0.000000000103,Gee,Metastatic cancer,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_NSITU,1,-0.194129894900,-0.570023658705,0.181763868905,-1.012221108631,0.311432345604,Gee,"Solid tumor without metastasis, in situ",v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_SOLID,1,0.036722450525,-0.021320739546,0.094765640596,1.240019378079,0.214968226777,Gee,"Solid tumor without metastasis, malignant",v2024,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,-0.210746072254,-0.289140845421,-0.132351299087,-5.268906265258,0.000000137239,Gee,Cerebrovascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.508986341919,0.450702830386,0.567269853452,17.116245616389,0.000000000000,Gee,Coagulopathy,v2024,"HCUP 2019, 2020, 2021"
CMR_DEMENTIA,1,0.344550718225,0.267727034574,0.421374401875,8.790349101714,0.000000000000,Gee,Dementia,v2024,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.029011345858,-0.070003731878,0.011981040161,-1.387115963416,0.165406405052,Gee,Depression,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_CX,1,0.228118204603,0.188994568897,0.267241840308,11.427963101462,0.000000000000,Gee,Diabetes with chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,-0.447447855452,-0.501143343551,-0.393752367353,-16.33250227705,0.000000000000,Gee,Diabetes without chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.609843748750,0.561634198281,0.658053299219,24.793257189199,0.000000000000,Gee,Heart failure,v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_CX,1,0.163905263358,0.108064747387,0.219745779328,5.752962834874,0.000000008769,Gee,"Hypertension, complicated",v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,-0.435375367726,-0.484139020887,-0.386611714565,-17.49909994817,0.000000000000,Gee,"Hypertension, uncomplicated",v2024,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,-0.046375988042,-0.178815527829,0.086063551746,-0.686315177887,0.492514379874,Gee,"Liver disease, moderate to severe",v2024,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,0.156005212292,0.123091447794,0.188918976789,9.289870124617,0.000000000000,Gee,Chronic pulmonary disease,v2024,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.873233511253,0.796882863731,0.949584158775,22.416394460189,0.000000000000,Gee,Other neurological disorders,v2024,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,0.159780996268,0.124477673780,0.195084318756,8.870694768360,0.000000000000,Gee,Obesity,v2024,"HCUP 2019, 2020, 2021"
CMR_PARALYSIS,1,0.907596950469,0.830391260628,0.984802640310,23.040495319072,0.000000000000,Gee,Paralysis,v2024,"HCUP 2019, 2020, 2021"
