Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-1.100809850552,-1.461959230567,-0.739660470537,-5.974114259370,0.000000002313,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.490417357466,-0.789577094348,-0.191257620584,-3.213000412569,0.001313561009,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.650218010326,-0.919380577690,-0.381055442963,-4.734699534268,0.000002193799,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.407086420668,-0.649662718391,-0.164510122946,-3.289170172835,0.001004832502,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.357084216418,-0.552009513344,-0.162158919493,-3.590463704125,0.000330090196,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.149181657992,-0.298125613177,-0.000237702807,-1.963091932498,0.049635492799,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.098262006647,-0.229610913315,0.033086900020,-1.466247409006,0.142580897161,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.016596085700,-0.191091864547,0.157899693148,-0.186409840232,0.852123376287,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.265988116893,0.105621134901,0.426355098885,3.250838314411,0.001150652755,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.232767109003,0.117476325044,0.348057892963,3.957082559123,0.000075870714,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.292562966013,0.169227323454,0.415898608572,4.649206544820,0.000003332144,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.334372891594,0.180323861799,0.488421921388,4.254222345986,0.000020977678,Gee,Age >= 85,v2024,"HCUP 2019, 2020, 2021"
MALE,1,-0.063476697889,-0.141667497425,0.014714101647,-1.591134026736,0.111579416242,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_60_64_MALE,1,-0.132188309045,-0.329183862967,0.064807244877,-1.315178539551,0.188449905816,Gee,60 <= Age <= 64 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_70_74_MALE,1,-0.259962056336,-0.446961901150,-0.072962211521,-2.724688185010,0.006436224005,Gee,70 <= Age <= 74 MALE,v2024,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,-0.029767151925,-0.156459039328,0.096924735478,-0.460507352845,0.645152094987,Gee,Alcohol abuse,v2024,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,-0.423836299436,-0.506086505044,-0.341586093828,-10.09971800181,0.000000000000,Gee,Anemias due to other nutritional deficiencies,v2024,"HCUP 2019, 2020, 2021"
CMR_BLDLOSS,1,-0.518812781528,-0.746204175440,-0.291421387616,-4.471824324652,0.000007755513,Gee,Chronic blood loss anemia  (iron deficiency),v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.275993923126,-0.060570628421,0.612558474672,1.607234471938,0.108002942736,Gee,Leukemia,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.391292400658,0.246961648747,0.535623152569,5.313621681869,0.000000107468,Gee,Metastatic cancer,v2024,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,0.188029359955,0.070459813551,0.305598906359,3.134576808526,0.001721021923,Gee,Cerebrovascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.609533896932,0.527401329995,0.691666463868,14.545563713583,0.000000000000,Gee,Coagulopathy,v2024,"HCUP 2019, 2020, 2021"
