Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-0.952353061832,-1.057978190410,-0.846727933254,-17.67172004321,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.777447287589,-0.902034485431,-0.652860089746,-12.23053981420,0.000000000000,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.678033834291,-0.787845583088,-0.568222085495,-12.10181888619,0.000000000000,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.447557117159,-0.542702591926,-0.352411642391,-9.219522345138,0.000000000000,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.387496417721,-0.468463834901,-0.306529000540,-9.380057426970,0.000000000000,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.353937362234,-0.423715384846,-0.284159339622,-9.941589870207,0.000000000000,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.267292539043,-0.329311881474,-0.205273196613,-8.447102618798,0.000000000000,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.061261202805,-0.116406505656,-0.006115899954,-2.177334150669,0.029455644905,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.132269611418,0.081610683237,0.182928539598,5.117433075244,0.000000309722,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.208377438442,0.135018579939,0.281736296945,5.567320469128,0.000000025869,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.303774861464,0.226047218917,0.381502504010,7.659923398813,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.357391892926,0.273099106100,0.441684679752,8.310025861981,0.000000000000,Gee,Age >= 85,v2024,"HCUP 2019, 2020, 2021"
MALE,1,-0.001060629848,-0.037539124661,0.035417864964,-0.056986899098,0.954555631187,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_75_79_MALE,1,0.044787520086,-0.039943093335,0.129518133507,1.036011929830,0.300196576963,Gee,75 <= Age <= 79 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_80_84_MALE,1,0.058480902261,-0.030348918491,0.147310723013,1.290337650623,0.196933449816,Gee,80 <= Age <= 84 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_85Plus_MALE,1,0.103174973495,0.004686311814,0.201663635176,2.053223474717,0.040050908716,Gee,Age >= 85 MALE,v2024,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,-0.112802358920,-0.169718979976,-0.055885737863,-3.884428779315,0.000102570753,Gee,Alcohol abuse,v2024,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,-0.282121898531,-0.320392032210,-0.243851764852,-14.44857143712,0.000000000000,Gee,Anemias due to other nutritional deficiencies,v2024,"HCUP 2019, 2020, 2021"
CMR_BLDLOSS,1,-0.232859531722,-0.390818411242,-0.074900652203,-2.889336117232,0.003860561793,Gee,Chronic blood loss anemia  (iron deficiency),v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LYMPH,1,0.252853390382,0.121600657160,0.384106123605,3.775795949917,0.000159497523,Gee,Lymphoma,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.641122403024,0.576691966010,0.705552840038,19.502844895156,0.000000000000,Gee,Metastatic cancer,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_SOLID,1,0.134815460979,0.066393118275,0.203237803684,3.861800657993,0.000112554388,Gee,"Solid tumor without metastasis, malignant",v2024,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,0.137023339508,0.088794669153,0.185252009863,5.568488795116,0.000000025696,Gee,Cerebrovascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.449358478990,0.405960944061,0.492756013919,20.294388527277,0.000000000000,Gee,Coagulopathy,v2024,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.266395746508,-0.317505443818,-0.215286049197,-10.21579262372,0.000000000000,Gee,Depression,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,-0.068900220280,-0.122148102261,-0.015652338299,-2.536099939616,0.011209473892,Gee,Diabetes without chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_DRUG_ABUSE,1,-0.171092667611,-0.246204853169,-0.095980482053,-4.464461578948,0.000008027035,Gee,Drug abuse,v2024,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.250215400828,0.211050735742,0.289380065914,12.521827338991,0.000000000000,Gee,Heart failure,v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_CX,1,-0.231895536128,-0.275245332892,-0.188545739364,-10.48463736653,0.000000000000,Gee,"Hypertension, complicated",v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,-0.313415064200,-0.358258041838,-0.268572086562,-13.69851580778,0.000000000000,Gee,"Hypertension, uncomplicated",v2024,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,0.763122634563,0.667583961710,0.858661307417,15.655365883330,0.000000000000,Gee,"Liver disease, moderate to severe",v2024,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,-0.065162185951,-0.098215373162,-0.032108998740,-3.863940164177,0.000111572563,Gee,Chronic pulmonary disease,v2024,"HCUP 2019, 2020, 2021"
CMR_NEURO_MOVT,1,-0.130138348955,-0.215327799985,-0.044948897925,-2.994108705668,0.002752478588,Gee,Neurological disorders affecting movement,v2024,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.310064913392,0.272657659269,0.347472167516,16.245941525421,0.000000000000,Gee,Other neurological disorders,v2024,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,-0.137297247135,-0.176362252164,-0.098232242106,-6.888458336574,0.000000000006,Gee,Obesity,v2024,"HCUP 2019, 2020, 2021"
CMR_PARALYSIS,1,-0.269145119506,-0.320875577904,-0.217414661109,-10.19737224819,0.000000000000,Gee,Paralysis,v2024,"HCUP 2019, 2020, 2021"
CMR_PERIVASC,1,0.119004041663,0.080815850013,0.157192233314,6.107742356808,0.000000001011,Gee,Peripheral vascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_PSYCHOSES,1,-0.280666507343,-0.362619939140,-0.198713075546,-6.712302755325,0.000000000019,Gee,Psychoses,v2024,"HCUP 2019, 2020, 2021"
CMR_PULMCIRC,1,0.107210213017,0.049210296467,0.165210129566,3.622904458988,0.000291313445,Gee,Pulmonary circulation disease,v2024,"HCUP 2019, 2020, 2021"
CMR_RENLFL_MOD,1,0.131698588669,0.084437563946,0.178959613391,5.461677822731,0.000000047166,Gee,"Renal failure, moderate",v2024,"HCUP 2019, 2020, 2021"
CMR_RENLFL_SEV,1,0.437433339520,0.385659836249,0.489206842791,16.559698241939,0.000000000000,Gee,"Renal failure, severe",v2024,"HCUP 2019, 2020, 2021"
CMR_THYROID_HYPO,1,-0.144602897906,-0.189182436707,-0.100023359105,-6.357546075557,0.000000000205,Gee,Hypothyroidism,v2024,"HCUP 2019, 2020, 2021"
CMR_THYROID_OTH,1,-0.328860691264,-0.470439341870,-0.187282040658,-4.552629284497,0.000005297958,Gee,Other thyroid disorders,v2024,"HCUP 2019, 2020, 2021"
CMR_WGHTLOSS,1,0.162045686227,0.122337310888,0.201754061565,7.998406032692,0.000000000000,Gee,Weight loss,v2024,"HCUP 2019, 2020, 2021"
MDC_1,1,0.015058552051,-0.073738208824,0.103855312927,0.332379462815,0.739602744193,Gee,Diseases and disorders of the nervous system,v2024,"HCUP 2019, 2020, 2021"
MDC_3,1,-1.060287365826,-1.278144516720,-0.842430214932,-9.538934305137,0.000000000000,Gee,"Diseases and disorders of the ear, nose, mouth and throat",v2024,"HCUP 2019, 2020, 2021"
MDC_8,1,-0.299791528558,-0.358497390362,-0.241085666753,-10.00889145961,0.000000000000,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2024,"HCUP 2019, 2020, 2021"
MDC_10,1,-0.434175242102,-0.647544506573,-0.220805977631,-3.988240010148,0.000066565301,Gee,"Endocrine, nutritional and metabolic diseases and disorders",v2024,"HCUP 2019, 2020, 2021"
MDC_11,1,-0.787993559150,-0.949846066734,-0.626141051566,-9.542261772990,0.000000000000,Gee,Diseases and disorders of the kidney and urinary tract,v2024,"HCUP 2019, 2020, 2021"
MDC_13,1,-1.098582483614,-1.480146603279,-0.717018363950,-5.643041342102,0.000000016707,Gee,Diseases and disorders of the female reproductive system,v2024,"HCUP 2019, 2020, 2021"
MDRG_101,1,1.409530328374,1.292320261448,1.526740395299,23.569892511814,0.000000000000,Gee,INTRACRANIAL VASCULAR PROCEDURES W PDX HEMORRHAGE,v2024,"HCUP 2019, 2020, 2021"
MDRG_102,1,1.624981499543,1.529892574673,1.720070424414,33.493965979632,0.000000000000,Gee,CRANIO W MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX,v2024,"HCUP 2019, 2020, 2021"
MDRG_103,1,1.237578971352,1.137761338599,1.337396604104,24.300418122380,0.000000000000,Gee,CRANIOTOMY & ENDOVASCULAR INTRACRANIAL PROCEDURES,v2024,"HCUP 2019, 2020, 2021"
MDRG_104,1,0.832945233160,0.636086085426,1.029804380894,8.292947911633,0.000000000000,Gee,SPINAL PROCEDURES,v2024,"HCUP 2019, 2020, 2021"
MDRG_501,1,1.318144197822,1.219834033183,1.416454362462,26.279227215554,0.000000000000,Gee,OTHER HEART ASSIST SYSTEM IMPLANT,v2024,"HCUP 2019, 2020, 2021"
MDRG_507,1,-0.424222419060,-0.612179484929,-0.236265353192,-4.423673347686,0.000009703670,Gee,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION,v2024,"HCUP 2019, 2020, 2021"
MDRG_508,1,-0.615706362989,-0.799843267239,-0.431569458738,-6.553614558813,0.000000000056,Gee,CORONARY BYPASS W/O CARDIAC CATH,v2024,"HCUP 2019, 2020, 2021"
MDRG_509,1,0.199968405913,0.056109487693,0.343827324132,2.724411378071,0.006441621544,Gee,AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB & TOE,v2024,"HCUP 2019, 2020, 2021"
MDRG_510,1,-0.855354588328,-1.182926041979,-0.527783134677,-5.117858007619,0.000000309025,Gee,PERMANENT CARDIAC PACEMAKER IMPLANT AND PROCEDURES,v2024,"HCUP 2019, 2020, 2021"
MDRG_513,1,0.550772513701,0.383673146632,0.717871880770,6.460193772514,0.000000000105,Gee,PERC CARDIOVASC PROC W/O INTRALUMINAL DEVICE,v2024,"HCUP 2019, 2020, 2021"
MDRG_514,1,0.179275098109,0.077143528308,0.281406667910,3.440392978414,0.000580870110,Gee,ULTRASOUND ACCELERATED AND OTHER THROMBOLYSIS OF PERIPHERAL VASCULAR STRUCTURES,v2024,"HCUP 2019, 2020, 2021"
