Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-1.130114486630,-1.229425041011,-1.030803932248,-22.30360817128,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-1.355187627882,-1.545247318363,-1.165127937400,-13.97518293446,0.000000000000,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.836136196309,-0.941699976687,-0.730572415931,-15.52423402294,0.000000000000,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.677567655945,-0.772505276601,-0.582630035288,-13.98821872254,0.000000000000,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.582388235063,-0.670288411608,-0.494488058518,-12.98586658881,0.000000000000,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.404613906272,-0.471411798747,-0.337816013797,-11.87206144619,0.000000000000,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.300817925588,-0.359618905084,-0.242016946091,-10.02691290361,0.000000000000,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.111932928174,-0.186954902934,-0.036910953414,-2.924269970314,0.003452651588,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.113607296519,0.062918877096,0.164295715942,4.392841838311,0.000011187852,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.246806855115,0.192393587491,0.301220122738,8.889974233990,0.000000000000,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.366508080141,0.308689349284,0.424326810999,12.424047129129,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.437431686277,0.366657954283,0.508205418271,12.113962718175,0.000000000000,Gee,Age >= 85,v2024,"HCUP 2019, 2020, 2021"
MALE,1,-0.056521400865,-0.088730368409,-0.024312433322,-3.439412017883,0.000582979243,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_30_34_MALE,1,0.670695259811,0.436376777591,0.905013742031,5.610050651480,0.000000020227,Gee,30 <= Age <= 34 MALE,v2024,"HCUP 2019, 2020, 2021"
