Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-0.456079961028,-0.578632905065,-0.333527016992,-7.293992851131,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.376407498243,-0.472301304410,-0.280513692075,-7.693355489298,0.000000000000,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.561909835849,-0.680660420367,-0.443159251332,-9.274253640931,0.000000000000,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.149809726482,-0.234923368733,-0.064696084232,-3.449760351864,0.000561084404,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.185271413706,-0.267006492053,-0.103536335359,-4.442710590998,0.000008883262,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.163835558210,-0.232279592480,-0.095391523941,-4.691596527092,0.000002710813,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.104941472916,-0.187171656297,-0.022711289536,-2.501289659652,0.012374192386,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.037389528898,-0.093243990967,0.018464933170,-1.312019260885,0.189513635864,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.136409786721,0.081727489680,0.191092083761,4.889302088255,0.000001011941,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.304643935307,0.244863106143,0.364424764472,9.988003673745,0.000000000000,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.375842785782,0.308679511302,0.443006060263,10.967873881705,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85Plus,1,0.574516555568,0.498923813451,0.650109297685,14.896030040703,0.000000000000,Gee,Age >= 85,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.041005582371,0.006307808822,0.075703355921,2.316271518060,0.020543448435,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_LT30_MALE,1,0.392096505864,0.218002088269,0.566190923459,4.414242803269,0.000010136414,Gee,Age < 30 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_35_39_MALE,1,0.445749176903,0.273985867043,0.617512486764,5.086373414547,0.000000364975,Gee,35 <= Age <= 39 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_55_59_MALE,1,-0.125909948100,-0.227576575603,-0.024243320596,-2.427335002940,0.015210203683,Gee,55 <= Age <= 59 MALE,v2024,"HCUP 2019, 2020, 2021"
CMR_ALCOHOL,1,0.070229156678,-0.000905540291,0.141363853647,1.935013764288,0.052988606643,Gee,Alcohol abuse,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.516259028768,0.344612390783,0.687905666752,5.894954395612,0.000000003748,Gee,Leukemia,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LYMPH,1,0.188870154216,0.044377340003,0.333362968429,2.561917712207,0.010409597892,Gee,Lymphoma,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.299152433593,0.229321784543,0.368983082642,8.396427696260,0.000000000000,Gee,Metastatic cancer,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_SOLID,1,0.116892877381,0.050241460095,0.183544294667,3.437373713048,0.000587384557,Gee,"Solid tumor without metastasis, malignant",v2024,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,0.163152519563,0.095774350714,0.230530688412,4.745944684965,0.000002075354,Gee,Cerebrovascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.389040823341,0.344395623341,0.433686023340,17.079238132560,0.000000000000,Gee,Coagulopathy,v2024,"HCUP 2019, 2020, 2021"
CMR_DEPRESS,1,-0.219383986704,-0.270528129697,-0.168239843711,-8.407310936557,0.000000000000,Gee,Depression,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,0.070929149456,0.013271344038,0.128586954874,2.411097289958,0.015904605203,Gee,Diabetes without chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.059327260267,0.014676754172,0.103977766363,2.604209976430,0.009208632077,Gee,Heart failure,v2024,"HCUP 2019, 2020, 2021"
