Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_LT30,1,-1.110645479939,-1.409328049872,-0.811962910006,-7.288088959335,0.000000000000,Gee,Age < 30,v2024,"HCUP 2019, 2020, 2021"
Age_30_34,1,-0.856690788881,-1.148691830422,-0.564689747341,-5.750264051232,0.000000008910,Gee,30 <= Age <= 34,v2024,"HCUP 2019, 2020, 2021"
Age_35_39,1,-0.771705662176,-1.004661264022,-0.538750060331,-6.492719181455,0.000000000084,Gee,35 <= Age <= 39,v2024,"HCUP 2019, 2020, 2021"
Age_40_44,1,-0.616416912006,-0.815928448070,-0.416905375941,-6.055564358953,0.000000001399,Gee,40 <= Age <= 44,v2024,"HCUP 2019, 2020, 2021"
Age_45_49,1,-0.561565553787,-0.715693373890,-0.407437733684,-7.141139475309,0.000000000001,Gee,45 <= Age <= 49,v2024,"HCUP 2019, 2020, 2021"
Age_50_54,1,-0.305855061092,-0.423730833913,-0.187979288271,-5.085564996811,0.000000366533,Gee,50 <= Age <= 54,v2024,"HCUP 2019, 2020, 2021"
Age_55_59,1,-0.198737390409,-0.299825820540,-0.097648960279,-3.853241435047,0.000116564349,Gee,55 <= Age <= 59,v2024,"HCUP 2019, 2020, 2021"
Age_60_64,1,-0.118648825299,-0.242404229285,0.005106578687,-1.879089049070,0.060232335165,Gee,60 <= Age <= 64,v2024,"HCUP 2019, 2020, 2021"
Age_70_74,1,0.113663876029,0.037740121192,0.189587630865,2.934221362452,0.003343856349,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.132107695681,0.049521102382,0.214694288981,3.135210150597,0.001717310406,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.042908181679,-0.057525490392,0.143341853749,0.837353538889,0.402393873301,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85_89,1,-0.244636436592,-0.387663620106,-0.101609253078,-3.352359972744,0.000801257625,Gee,85 <= Age <= 89,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus,1,-0.624444271900,-1.054098637733,-0.194789906066,-2.848541480317,0.004392012759,Gee,Age >= 90,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.067475277727,0.010207542832,0.124743012623,2.309312816970,0.020926228939,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_60_64_MALE,1,0.054216031266,-0.094418845592,0.202850908124,0.714916114657,0.474660878873,Gee,60 <= Age <= 64 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus_MALE,1,-0.216913577002,-0.823117322255,0.389290168251,-0.701319980304,0.483103347323,Gee,Age >= 90 MALE,v2024,"HCUP 2019, 2020, 2021"
CMR_ANEMDEF,1,0.264479574037,0.180582781130,0.348376366944,6.178668120662,0.000000000646,Gee,Anemias due to other nutritional deficiencies,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_LEUK,1,0.485410422259,0.234304325884,0.736516518634,3.788784737134,0.000151386015,Gee,Leukemia,v2024,"HCUP 2019, 2020, 2021"
CMR_CANCER_METS,1,0.296280913312,0.160287787375,0.432274039249,4.270068177311,0.000019541322,Gee,Metastatic cancer,v2024,"HCUP 2019, 2020, 2021"
CMR_CBVD,1,-0.153126987439,-0.275201313383,-0.031052661496,-2.458529900724,0.013950715886,Gee,Cerebrovascular disease,v2024,"HCUP 2019, 2020, 2021"
CMR_COAG,1,0.511835250941,0.408373275983,0.615297225898,9.696109689323,0.000000000000,Gee,Coagulopathy,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_CX,1,0.289236774240,0.225136323649,0.353337224831,8.843832692074,0.000000000000,Gee,Diabetes with chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_DIAB_UNCX,1,-0.732546518389,-0.862515973326,-0.602577063452,-11.04694017329,0.000000000000,Gee,Diabetes without chronic complications,v2024,"HCUP 2019, 2020, 2021"
CMR_HF,1,0.336430923867,0.251576953772,0.421284893963,7.770909166928,0.000000000000,Gee,Heart failure,v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_CX,1,0.351422232501,0.256033603071,0.446810861932,7.220723509512,0.000000000001,Gee,"Hypertension, complicated",v2024,"HCUP 2019, 2020, 2021"
CMR_HTN_UNCX,1,-0.611283535783,-0.707902801120,-0.514664270446,-12.40015343008,0.000000000000,Gee,"Hypertension, uncomplicated",v2024,"HCUP 2019, 2020, 2021"
CMR_LIVER_MLD,1,0.319586092066,0.204635246103,0.434536938029,5.449087609265,0.000000050629,Gee,"Liver disease, mild",v2024,"HCUP 2019, 2020, 2021"
CMR_LIVER_SEV,1,0.975452497452,0.798858059687,1.152046935217,10.826228661739,0.000000000000,Gee,"Liver disease, moderate to severe",v2024,"HCUP 2019, 2020, 2021"
CMR_LUNG_CHRONIC,1,0.054818286405,-0.002008768652,0.111645341461,1.890681594199,0.058666860883,Gee,Chronic pulmonary disease,v2024,"HCUP 2019, 2020, 2021"
CMR_NEURO_OTH,1,0.304861893116,0.125777268917,0.483946517315,3.336513860080,0.000848361985,Gee,Other neurological disorders,v2024,"HCUP 2019, 2020, 2021"
CMR_OBESE,1,0.389072408027,0.327056042578,0.451088773477,12.296236672074,0.000000000000,Gee,Obesity,v2024,"HCUP 2019, 2020, 2021"
CMR_PARALYSIS,1,0.287315721858,0.118479869825,0.456151573890,3.335360708369,0.000851888198,Gee,Paralysis,v2024,"HCUP 2019, 2020, 2021"
